"Issue Date","Tender","Security Type","Discount Rate","Interest Rate"
"30 Jan 2023","1835","91 DAY BILL","32.7870","35.7144"
"30 Jan 2023","1835","182 DAY BILL","30.3323","35.7549"
"30 Jan 2023","1835","364 DAY BILL","26.3701","35.8144"
"23 Jan 2023","1834","91 DAY BILL","32.7194","35.6342"
"23 Jan 2023","1834","182 DAY BILL","30.3695","35.8067"
"23 Jan 2023","1834","364 DAY BILL","26.2317","35.5596"
"16 Jan 2023","1833","91 DAY BILL","32.5761","35.4643"
"16 Jan 2023","1833","182 DAY BILL","30.3886","35.8332"
"16 Jan 2023","1833","364 DAY BILL","26.4247","35.9152"
"09 Jan 2023","1832","91 DAY BILL","32.7407","35.6595"
"09 Jan 2023","1832","182 DAY BILL","30.4704","35.9470"
"02 Jan 2023","1831","91 DAY BILL","32.4909","35.3634"
"02 Jan 2023","1831","182 DAY BILL","30.4938","35.9796"
"02 Jan 2023","1831","364 DAY BILL","26.4135","35.8945"
"26 Dec 2022","1830","91 DAY BILL","32.4888","35.3609"
"26 Dec 2022","1830","182 DAY BILL","30.4388","35.9030"
"19 Dec 2022","1829","91 DAY BILL","32.1228","34.9277"
"19 Dec 2022","1829","182 DAY BILL","30.5327","36.0337"
"19 Dec 2022","1829","364 DAY BILL","26.5268","36.1040"
"12 Dec 2022","1828","91 DAY BILL","32.6642","35.5688"
"12 Dec 2022","1828","182 DAY BILL","30.8875","36.5289"
"12 Dec 2022","1828","364 DAY BILL","26.5716","36.1871"
"05 Dec 2022","1827","91 DAY BILL","33.1811","36.1825"
"05 Dec 2022","1827","182 DAY BILL","31.0295","36.7277"
"28 Nov 2022","1826","91 DAY BILL","32.6422","35.5427"
"28 Nov 2022","1826","182 DAY BILL","30.7788","36.3770"
"28 Nov 2022","1826","364 DAY BILL","26.4145","35.8963"
"21 Nov 2022","1825","91 DAY BILL","32.3501","35.1966"
"21 Nov 2022","1825","182 DAY BILL","30.5002","35.9885"
"14 Nov 2022","1824","91 DAY BILL","31.6712","34.3945"
"14 Nov 2022","1824","182 DAY BILL","30.1481","35.4993"
"14 Nov 2022","1824","364 DAY BILL","25.9681","35.0769"
"07 Nov 2022","1823","91 DAY BILL","30.7755","33.3407"
"07 Nov 2022","1823","182 DAY BILL","29.6793","34.8511"
"07 Nov 2022","1823","364 DAY BILL","25.8149","34.7980"
"31 Oct 2022","1822","91 DAY BILL","30.2326","32.7045"
"31 Oct 2022","1822","182 DAY BILL","29.2515","34.2627"
"31 Oct 2022","1822","364 DAY BILL","25.0132","33.3568"
"24 Oct 2022","1821","91 DAY BILL","29.7628","32.1554"
